status,product_area,response,justification,request_type
escalated,Team & Access Management,Thank you for contacting Claude support. Your case has been escalated to our specialist team who will review it shortly. Please do not share sensitive account details over this channel. A support agent will follow up with you directly.,"Issue involves a sensitive area (Team & Access Management) such as billing, fraud, account access, or identity. Escalated to human agent for secure handling.",product_issue
escalated,Assessments & Scoring,"Thank you for reaching out. Unfortunately, this request falls outside what HackerRank support is able to action. We are unable to override third-party decisions, intervene with external merchants, or modify platform outcomes on your behalf. Please review our support policies for further guidance.","Request classified as invalid — asks for actions outside support scope (e.g. overriding recruiter decisions, banning merchants, restoring unauthorised access). Escalated per policy.",invalid
escalated,Dispute & Chargeback,"Thank you for reaching out. Unfortunately, this request falls outside what Visa support is able to action. We are unable to override third-party decisions, intervene with external merchants, or modify platform outcomes on your behalf. Please review our support policies for further guidance.","Request classified as invalid — asks for actions outside support scope (e.g. overriding recruiter decisions, banning merchants, restoring unauthorised access). Escalated per policy.",invalid
escalated,Interviews,Thank you for contacting HackerRank support. Your case has been escalated to our specialist team who will review it shortly. Please do not share sensitive account details over this channel. A support agent will follow up with you directly.,"Issue involves a sensitive area (Interviews) such as billing, fraud, account access, or identity. Escalated to human agent for secure handling.",bug
escalated,Billing,Thank you for contacting HackerRank support. Your case has been escalated to our specialist team who will review it shortly. Please do not share sensitive account details over this channel. A support agent will follow up with you directly.,"Issue involves a sensitive area (Billing) such as billing, fraud, account access, or identity. Escalated to human agent for secure handling.",product_issue
replied,General Support,"Thank you for reaching out to HackerRank support regarding General Support. Based on our documentation: title_slug: ""oracle-recruiting-cloud-and-hackerrank-integration-user-guide"" source_url: ""https://support.hackerrank.com/articles/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide"" article_slug: ""3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide"" last_upd... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to HackerRank support regarding General Support. Based on our documentation: title_slug: ""early-talent"" source_url: ""https://support.hackerrank.com/articles/1216495690-early-talent-"" article_slug: ""1216495690-early-talent-"" last_updated_exact: ""Oct 15, 2025, 10:15 PM"" last_updated_relative: ""Last updated 6 months ago"" breadcrumbs:   - ""General Help""   - ""Evaluation Guides""... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to HackerRank support regarding General Support. Based on our documentation: title_slug: ""hackerrank-dataset-creation-methodology"" source_url: ""https://support.hackerrank.com/articles/4425890244-hackerrank-dataset-creation-methodology"" article_slug: ""4425890244-hackerrank-dataset-creation-methodology"" last_updated_exact: ""Jun 23, 2025, 7:29 PM"" last_updated_relative: ""Last u... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,Assessments & Scoring,"Thank you for reaching out to HackerRank support regarding Assessments & Scoring. Based on our documentation: title_slug: ""january-2026-release-notes-screen-skills-platform-developer-experience-integrity-interview-data-and-insights-integrations-skillup-deprecations-and-experience-changes"" source_url: ""https://support.hackerrank.com/articles/2321596225-january-2026-release-notes"" article_slug: ""2321596225-ja... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to Assessments & Scoring documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,bug
replied,Assessments & Scoring,"Thank you for reaching out to HackerRank support regarding Assessments & Scoring. Based on our documentation: title_slug: ""april-2026-release-notes-screen-interview-platform-chakra-ai-interviewer-skillup-community-deprecations-and-experience-changes"" source_url: ""https://support.hackerrank.com/articles/4368819843-april-2026-release-notes"" article_slug: ""4368819843-april-2026-release-notes"" last_updated_exac... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to Assessments & Scoring documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,Interviews,"Thank you for reaching out to HackerRank support regarding Interviews. Based on our documentation: title_slug: ""july-2025-release-notes-screen-screen-features-available-in-the-ai-add-on-package-skills-platform-developer-experience-interview-interview-features-available-in-the-ai-add-on-package-skillup-engage"" source_url: ""https://support.hackerrank.com/articles/3121307537-july-2025-release-notes""... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to Interviews documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,Thank you for contacting Support support. We received your message about General Support. Could you please provide more details about the issue so we can assist you better?,No matching documentation found for this ticket. Requested clarification from user rather than guessing.,bug
replied,Interviews,"Thank you for reaching out to HackerRank support regarding Interviews. Based on our documentation: title_slug: ""july-2025-release-notes-screen-screen-features-available-in-the-ai-add-on-package-skills-platform-developer-experience-interview-interview-features-available-in-the-ai-add-on-package-skillup-engage"" source_url: ""https://support.hackerrank.com/articles/3121307537-july-2025-release-notes""... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to Interviews documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to HackerRank support regarding General Support. Based on our documentation: title_slug: ""july-2025-release-notes-screen-screen-features-available-in-the-ai-add-on-package-skills-platform-developer-experience-interview-interview-features-available-in-the-ai-add-on-package-skillup-engage"" source_url: ""https://support.hackerrank.com/articles/3121307537-july-2025-release-notes""... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,bug
replied,General Support,"Thank you for reaching out to Claude support regarding General Support. Based on our documentation: title_slug: ""claude-code-power-user-tips"" source_url: ""https://support.claude.com/en/articles/14554000-claude-code-power-user-tips"" last_updated_iso: ""2026-04-15T01:12:53Z"" article_id: ""17025313"" breadcrumbs:   - ""Claude Code""   - ""Launch guides""  # Claude Code power user tips  _Last updated: 2026-0... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,bug
escalated,Fraud & Security,Thank you for contacting Visa support. Your case has been escalated to our specialist team who will review it shortly. Please do not share sensitive account details over this channel. A support agent will follow up with you directly.,"Issue involves a sensitive area (Fraud & Security) such as billing, fraud, account access, or identity. Escalated to human agent for secure handling.",product_issue
replied,General Support,"Thank you for reaching out to HackerRank support regarding General Support. Based on our documentation: title_slug: ""october-2024-release-notes"" source_url: ""https://support.hackerrank.com/articles/1189675016-october-2024-release-notes"" article_slug: ""1189675016-october-2024-release-notes"" last_updated_exact: ""Apr 9, 2025, 11:14 AM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs:   - ""Ge... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,Assessments & Scoring,"Thank you for reaching out to HackerRank support regarding Assessments & Scoring. Based on our documentation: title_slug: ""oracle-recruiting-cloud-and-hackerrank-integration-user-guide"" source_url: ""https://support.hackerrank.com/articles/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide"" article_slug: ""3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide"" last_upd... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to Assessments & Scoring documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
escalated,Dispute & Chargeback,Thank you for contacting Visa support. Your case has been escalated to our specialist team who will review it shortly. Please do not share sensitive account details over this channel. A support agent will follow up with you directly.,"Issue involves a sensitive area (Dispute & Chargeback) such as billing, fraud, account access, or identity. Escalated to human agent for secure handling.",product_issue
replied,General Support,"Thank you for reaching out to Claude support regarding General Support. Based on our documentation: title_slug: ""release-notes"" source_url: ""https://support.claude.com/en/articles/12138966-release-notes"" last_updated_iso: ""2026-04-17T15:00:00Z"" article_id: ""13457652"" breadcrumbs:   - ""Claude""  # Release notes  _Last updated: 2026-04-17T15:00:00Z_  ## April 2026  #### April 17, 2026  **Claude Desig... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to Claude support regarding General Support. Based on our documentation: title_slug: ""create-and-edit-files-with-claude"" source_url: ""https://support.claude.com/en/articles/12111783-create-and-edit-files-with-claude"" last_updated_iso: ""2026-04-14T19:09:14Z"" article_id: ""13415749"" breadcrumbs:   - ""Claude""   - ""Features and capabilities""  # Create and edit files with Clau... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to Visa support regarding General Support. Based on our documentation: source_url: ""https://www.visa.co.in/support/consumer/travel-support.html"" final_url: ""https://www.visa.co.in/support/consumer/travel-support.html"" last_modified: ""2026-04-01T08:07:35.955Z"" description: ""Travel with Visa and you’ll have our tools, support and guidance every step of the way. Visit tod... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to Claude support regarding General Support. Based on our documentation: title_slug: ""get-started-with-claude-cowork"" source_url: ""https://support.claude.com/en/articles/13345190-get-started-with-claude-cowork"" last_updated_iso: ""2026-04-15T22:23:32Z"" article_id: ""15229827"" breadcrumbs:   - ""Claude""   - ""Features and capabilities""  # Get started with Claude Cowork  _Last... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,feature_request
replied,General Support,Thank you for contacting Support support. We received your message about General Support. Could you please provide more details about the issue so we can assist you better?,No matching documentation found for this ticket. Requested clarification from user rather than guessing.,product_issue
escalated,Fraud & Security,Thank you for contacting Visa support. Your case has been escalated to our specialist team who will review it shortly. Please do not share sensitive account details over this channel. A support agent will follow up with you directly.,"Issue involves a sensitive area (Fraud & Security) such as billing, fraud, account access, or identity. Escalated to human agent for secure handling.",product_issue
replied,General Support,"Thank you for reaching out to Claude support regarding General Support. Based on our documentation: title_slug: ""use-claude-for-excel"" source_url: ""https://support.claude.com/en/articles/12650343-use-claude-for-excel"" last_updated_iso: ""2026-04-16T13:44:13Z"" article_id: ""14205991"" breadcrumbs:   - ""Claude""   - ""Features and capabilities""  # Use Claude for Excel  _Last updated: 2026-04-16T13:44:13Z... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to HackerRank support regarding General Support. Based on our documentation: title_slug: ""july-2024-release-notes"" source_url: ""https://support.hackerrank.com/articles/4505174147-july-2024-release-notes"" article_slug: ""4505174147-july-2024-release-notes"" last_updated_exact: ""Jan 22, 2025, 9:26 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs:   - ""General Hel... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to Claude support regarding General Support. Based on our documentation: title_slug: ""use-claude-for-excel"" source_url: ""https://support.claude.com/en/articles/12650343-use-claude-for-excel"" last_updated_iso: ""2026-04-16T13:44:13Z"" article_id: ""14205991"" breadcrumbs:   - ""Claude""   - ""Features and capabilities""  # Use Claude for Excel  _Last updated: 2026-04-16T13:44:13Z... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,Dispute & Chargeback,"Thank you for reaching out to Visa support regarding Dispute & Chargeback. Based on our documentation: source_url: ""https://www.visa.co.in/support.html"" final_url: ""https://www.visa.co.in/support.html"" last_modified: ""2026-01-06T04:51:28.352Z"" description: ""If you have questions about your Visa card or need help with a lost or stolen card, visit Visa’s Consumer Support page.""  # Visa Consumer Support... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to Dispute & Chargeback documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
